"openmlid";"algorithm";"seed";"chosenmodel";"errorrate";"runtime"
"1475";"10cv-adaptive";"4";"RandomForestClassifier";"0.3692";"13816"
"1457";"10cv-adaptive";"5";"LinearSVC";"0.2566";"38305"
"1486";"10cv-adaptive";"2";"RandomForestClassifier";"0.0527";"29771"
"1590";"10cv-adaptive";"7";"LinearSVC";"0.1618";"21548"
"1485";"10cv-adaptive";"9";"DecisionTreeClassifier";"0.2434";"11005"
"1486";"10cv-adaptive";"3";"RandomForestClassifier";"0.0528";"29129"
"1515";"10cv-adaptive";"7";"RandomForestClassifier";"0.1147";"6363"
"1457";"10cv-adaptive";"6";"LinearSVC";"0.2564";"38288"
"1590";"10cv-adaptive";"8";"LinearSVC";"0.1618";"22406"
"1468";"10cv-adaptive";"4";"MLPClassifier";"0.04";"7521"
"23512";"10cv-adaptive";"1";"RandomForestClassifier";"0.2942";"13036"
"1475";"10cv-adaptive";"5";"RandomForestClassifier";"0.3678";"13923"
"1489";"10cv-adaptive";"3";"ExtraTreesClassifier";"0.0826";"4608"
"1590";"10cv-adaptive";"9";"LinearSVC";"0.1618";"21021"
"23512";"10cv-adaptive";"2";"RandomForestClassifier";"0.2955";"12557"
"1468";"10cv-adaptive";"5";"MLPClassifier";"0.0406";"7505"
"1475";"10cv-adaptive";"6";"RandomForestClassifier";"0.3684";"13146"
"1457";"10cv-adaptive";"7";"MLPClassifier";"0.3861";"40366"
"1457";"10cv-adaptive";"8";"LinearSVC";"0.2568";"39969"
"1489";"10cv-adaptive";"4";"ExtraTreesClassifier";"0.0831";"5043"
"23512";"10cv-adaptive";"3";"GradientBoostingClassifier";"0.2894";"12557"
"1475";"10cv-adaptive";"7";"RandomForestClassifier";"0.3682";"13484"
"1515";"10cv-adaptive";"9";"RandomForestClassifier";"0.115";"6500"
"1486";"10cv-adaptive";"5";"RandomForestClassifier";"0.0528";"30137"
"4534";"10cv-adaptive";"0";"MLPClassifier";"0.0285";"13249"
"4541";"10cv-adaptive";"1";"LogisticRegression";"0.4236";"48605"
"1468";"10cv-adaptive";"6";"MLPClassifier";"0.0405";"7101"
"1468";"10cv-adaptive";"7";"MLPClassifier";"0.0405";"7151"
"1457";"10cv-adaptive";"9";"LinearSVC";"0.2569";"38911"
"23512";"10cv-adaptive";"4";"GradientBoostingClassifier";"0.2895";"13141"
"4538";"10cv-adaptive";"0";"ExtraTreesClassifier";"0.3022";"11995"
"1475";"10cv-adaptive";"8";"RandomForestClassifier";"0.3697";"13614"
"4534";"10cv-adaptive";"1";"ExtraTreesClassifier";"0.0267";"12324"
"1489";"10cv-adaptive";"5";"ExtraTreesClassifier";"0.083";"4699"
"1486";"10cv-adaptive";"6";"RandomForestClassifier";"0.0527";"29755"
"4541";"10cv-adaptive";"2";"LogisticRegression";"0.4236";"50353"
"1475";"10cv-adaptive";"9";"RandomForestClassifier";"0.3681";"13689"
"1486";"10cv-adaptive";"7";"RandomForestClassifier";"0.0528";"29012"
"4534";"10cv-adaptive";"2";"MLPClassifier";"0.028";"11813"
"23512";"10cv-adaptive";"5";"GradientBoostingClassifier";"0.2894";"14321"
"4134";"10cv-adaptive";"0";"RandomForestClassifier";"0.1961";"22535"
"1489";"10cv-adaptive";"6";"ExtraTreesClassifier";"0.0826";"4701"
"4135";"10cv-adaptive";"0";"SGDClassifier";"0.0513";"22664"
"1468";"10cv-adaptive";"9";"MLPClassifier";"0.0407";"7476"
"1489";"10cv-adaptive";"7";"ExtraTreesClassifier";"0.0831";"4836"
"4538";"10cv-adaptive";"2";"ExtraTreesClassifier";"0.3029";"11873"
"4534";"10cv-adaptive";"3";"MLPClassifier";"0.0283";"12077"
"23512";"10cv-adaptive";"6";"RandomForestClassifier";"0.2934";"13348"
"1486";"10cv-adaptive";"8";"RandomForestClassifier";"0.0527";"29956"
"4134";"10cv-adaptive";"1";"RandomForestClassifier";"0.1951";"20259"
"40978";"10cv-adaptive";"0";"LinearSVC";"0.0295";"31709"
"4134";"10cv-adaptive";"2";"RandomForestClassifier";"0.1952";"19860"
"4534";"10cv-adaptive";"4";"MLPClassifier";"0.0283";"12321"
"4135";"10cv-adaptive";"1";"SGDClassifier";"0.0512";"22228"
"1489";"10cv-adaptive";"8";"ExtraTreesClassifier";"0.0823";"4690"
"4538";"10cv-adaptive";"3";"ExtraTreesClassifier";"0.3012";"11618"
"23512";"10cv-adaptive";"7";"GradientBoostingClassifier";"0.2894";"12930"
"4541";"10cv-adaptive";"5";"LogisticRegression";"0.4236";"48987"
"23512";"10cv-adaptive";"8";"GradientBoostingClassifier";"0.2894";"13321"
"40996";"10cv-adaptive";"0";"ExtraTreesClassifier";"0.1163";"89139"
"4534";"10cv-adaptive";"5";"MLPClassifier";"0.029";"12182"
"40978";"10cv-adaptive";"1";"LinearSVC";"0.0282";"31413"
"4134";"10cv-adaptive";"3";"RandomForestClassifier";"0.1962";"19750"
"1489";"10cv-adaptive";"9";"RandomForestClassifier";"0.0873";"4646"
"4134";"10cv-adaptive";"4";"RandomForestClassifier";"0.1973";"20046"
"4534";"10cv-adaptive";"6";"ExtraTreesClassifier";"0.0265";"11955"
"40978";"10cv-adaptive";"2";"LogisticRegression";"0.0278";"32294"
"41027";"10cv-adaptive";"0";"MLPClassifier";"0.1551";"17015"
"4538";"10cv-adaptive";"5";"ExtraTreesClassifier";"0.3021";"12537"
"40996";"10cv-adaptive";"1";"ExtraTreesClassifier";"0.1167";"83234"
"4135";"10cv-adaptive";"3";"SGDClassifier";"0.0513";"22345"
"23512";"10cv-adaptive";"9";"GradientBoostingClassifier";"0.2894";"12837"
"41027";"10cv-adaptive";"1";"MLPClassifier";"0.1549";"15705"
"4134";"10cv-adaptive";"5";"RandomForestClassifier";"0.1957";"20002"
"40981";"10cv-adaptive";"0";"RandomForestClassifier";"0.1339";"931"
"4538";"10cv-adaptive";"6";"ExtraTreesClassifier";"0.3023";"11868"
"4534";"10cv-adaptive";"7";"MLPClassifier";"0.029";"12076"
"40978";"10cv-adaptive";"3";"LogisticRegression";"0.0278";"32545"
"4135";"10cv-adaptive";"4";"SGDClassifier";"0.0513";"22223"
"41027";"10cv-adaptive";"2";"MLPClassifier";"0.1547";"15562"
"4135";"10cv-adaptive";"5";"SGDClassifier";"0.0512";"22254"
"40982";"10cv-adaptive";"0";"GradientBoostingClassifier";"0.2036";"5387"
"40996";"10cv-adaptive";"3";"ExtraTreesClassifier";"0.1168";"86686"
"40978";"10cv-adaptive";"4";"LogisticRegression";"0.0278";"32865"
"4534";"10cv-adaptive";"8";"MLPClassifier";"0.0281";"12312"
"4538";"10cv-adaptive";"7";"ExtraTreesClassifier";"0.3014";"11680"
"4134";"10cv-adaptive";"6";"RandomForestClassifier";"0.1955";"20222"
"40981";"10cv-adaptive";"1";"RandomForestClassifier";"0.1346";"944"
"41027";"10cv-adaptive";"3";"MLPClassifier";"0.1547";"15875"
"4534";"10cv-adaptive";"9";"MLPClassifier";"0.0285";"12161"
"4134";"10cv-adaptive";"7";"RandomForestClassifier";"0.1966";"19923"
"40983";"10cv-adaptive";"0";"GradientBoostingClassifier";"0.0157";"2340"
"4135";"10cv-adaptive";"6";"SGDClassifier";"0.0512";"22025"
"40981";"10cv-adaptive";"2";"RandomForestClassifier";"0.1345";"985"
"4538";"10cv-adaptive";"8";"ExtraTreesClassifier";"0.3018";"12001"
"40978";"10cv-adaptive";"5";"LogisticRegression";"0.0278";"32599"
"40982";"10cv-adaptive";"1";"GradientBoostingClassifier";"0.2061";"5220"
"40984";"10cv-adaptive";"0";"ExtraTreesClassifier";"0.0563";"6025"
"40978";"10cv-adaptive";"6";"LinearSVC";"0.0332";"31260"
"40981";"10cv-adaptive";"3";"RandomForestClassifier";"0.1343";"895"
"40983";"10cv-adaptive";"1";"GradientBoostingClassifier";"0.0157";"2310"
"40982";"10cv-adaptive";"2";"GradientBoostingClassifier";"0.2051";"5397"
"41027";"10cv-adaptive";"4";"MLPClassifier";"0.1553";"16177"
"4538";"10cv-adaptive";"9";"ExtraTreesClassifier";"0.3014";"11992"
"4134";"10cv-adaptive";"8";"RandomForestClassifier";"0.1968";"20391"
"40996";"10cv-adaptive";"5";"ExtraTreesClassifier";"0.1169";"86997"
"40701";"10cv-adaptive";"0";"RandomForestClassifier";"0.0481";"3215"
"40978";"10cv-adaptive";"7";"LogisticRegression";"0.0278";"32344"
"40981";"10cv-adaptive";"4";"RandomForestClassifier";"0.1364";"960"
"4134";"10cv-adaptive";"9";"RandomForestClassifier";"0.197";"20205"
"41027";"10cv-adaptive";"5";"MLPClassifier";"0.1544";"16311"
"4135";"10cv-adaptive";"8";"SGDClassifier";"0.0513";"22162"
"40984";"10cv-adaptive";"1";"ExtraTreesClassifier";"0.0558";"6033"
"40996";"10cv-adaptive";"6";"ExtraTreesClassifier";"0.1167";"86370"
"40982";"10cv-adaptive";"3";"GradientBoostingClassifier";"0.2055";"5183"
"40983";"10cv-adaptive";"2";"GradientBoostingClassifier";"0.0157";"2276"
"40982";"10cv-adaptive";"4";"GradientBoostingClassifier";"0.2059";"5348"
"40670";"10cv-adaptive";"0";"GradientBoostingClassifier";"0.0373";"12683"
"40996";"10cv-adaptive";"7";"ExtraTreesClassifier";"0.1167";"85544"
"41027";"10cv-adaptive";"6";"MLPClassifier";"0.1538";"16015"
"40984";"10cv-adaptive";"2";"ExtraTreesClassifier";"0.0568";"5868"
"40978";"10cv-adaptive";"8";"LinearSVC";"0.0337";"32122"
"40983";"10cv-adaptive";"3";"GradientBoostingClassifier";"0.0157";"2335"
"40981";"10cv-adaptive";"5";"RandomForestClassifier";"0.1342";"1081"
"40701";"10cv-adaptive";"1";"RandomForestClassifier";"0.0484";"3218"
"4135";"10cv-adaptive";"9";"SGDClassifier";"0.0512";"22339"
"40701";"10cv-adaptive";"2";"RandomForestClassifier";"0.048";"3148"
"41027";"10cv-adaptive";"7";"MLPClassifier";"0.1548";"16201"
"40984";"10cv-adaptive";"3";"ExtraTreesClassifier";"0.0567";"5841"
"40982";"10cv-adaptive";"5";"GradientBoostingClassifier";"0.2045";"5499"
"40670";"10cv-adaptive";"1";"GradientBoostingClassifier";"0.0374";"12550"
"40978";"10cv-adaptive";"9";"LogisticRegression";"0.0278";"31804"
"40996";"10cv-adaptive";"8";"ExtraTreesClassifier";"0.1167";"92014"
"40983";"10cv-adaptive";"4";"GradientBoostingClassifier";"0.0157";"2294"
"40981";"10cv-adaptive";"6";"RandomForestClassifier";"0.1367";"918"
"40670";"10cv-adaptive";"2";"GradientBoostingClassifier";"0.0372";"12175"
"40984";"10cv-adaptive";"4";"ExtraTreesClassifier";"0.0566";"6110"
"41027";"10cv-adaptive";"8";"MLPClassifier";"0.1561";"16289"
"40983";"10cv-adaptive";"5";"GradientBoostingClassifier";"0.0157";"2381"
"40900";"10cv-adaptive";"0";"LinearSVC";"0.0152";"3205"
"40982";"10cv-adaptive";"6";"GradientBoostingClassifier";"0.2042";"5467"
"40981";"10cv-adaptive";"7";"RandomForestClassifier";"0.1372";"921"
"40701";"10cv-adaptive";"3";"RandomForestClassifier";"0.0481";"3102"
"40996";"10cv-adaptive";"9";"ExtraTreesClassifier";"0.1164";"89159"
"40701";"10cv-adaptive";"4";"RandomForestClassifier";"0.0483";"3408"
"40984";"10cv-adaptive";"5";"ExtraTreesClassifier";"0.0556";"6217"
"40983";"10cv-adaptive";"6";"GradientBoostingClassifier";"0.0157";"2173"
"40900";"10cv-adaptive";"1";"LinearSVC";"0.0186";"3041"
"40982";"10cv-adaptive";"7";"GradientBoostingClassifier";"0.2044";"5238"
"41027";"10cv-adaptive";"9";"MLPClassifier";"0.1546";"16093"
"40670";"10cv-adaptive";"3";"GradientBoostingClassifier";"0.0373";"12471"
"40981";"10cv-adaptive";"8";"RandomForestClassifier";"0.1367";"910"
"40670";"10cv-adaptive";"4";"GradientBoostingClassifier";"0.0372";"13070"
"40984";"10cv-adaptive";"6";"ExtraTreesClassifier";"0.0554";"5799"
"40900";"10cv-adaptive";"2";"LinearSVC";"0.0093";"3084"
"40982";"10cv-adaptive";"8";"GradientBoostingClassifier";"0.2061";"5497"
"40983";"10cv-adaptive";"7";"GradientBoostingClassifier";"0.0157";"2401"
"40981";"10cv-adaptive";"9";"RandomForestClassifier";"0.1362";"1077"
"40701";"10cv-adaptive";"5";"RandomForestClassifier";"0.0476";"3320"
"40982";"10cv-adaptive";"9";"GradientBoostingClassifier";"0.2043";"5297"
"40701";"10cv-adaptive";"6";"RandomForestClassifier";"0.0474";"3089"
"42733";"10cv-adaptive";"0";"BernoulliNB";"0.1687";"29307"
"40670";"10cv-adaptive";"5";"GradientBoostingClassifier";"0.0373";"13694"
"40984";"10cv-adaptive";"7";"ExtraTreesClassifier";"0.0561";"5946"
"40983";"10cv-adaptive";"8";"GradientBoostingClassifier";"0.0157";"2511"
"40701";"10cv-adaptive";"7";"RandomForestClassifier";"0.0485";"3092"
"42734";"10cv-adaptive";"0";"GradientBoostingClassifier";"0.2682";"8360"
"40984";"10cv-adaptive";"8";"ExtraTreesClassifier";"0.0561";"6077"
"40900";"10cv-adaptive";"4";"LinearSVC";"0.0144";"3214"
"40670";"10cv-adaptive";"6";"GradientBoostingClassifier";"0.0373";"12572"
"40983";"10cv-adaptive";"9";"GradientBoostingClassifier";"0.0157";"2259"
"42733";"10cv-adaptive";"1";"BernoulliNB";"0.1687";"29193"
"40701";"10cv-adaptive";"8";"RandomForestClassifier";"0.0484";"3075"
"40498";"10cv-adaptive";"0";"ExtraTreesClassifier";"0.2974";"7436"
"42734";"10cv-adaptive";"1";"GradientBoostingClassifier";"0.268";"10564"
"42733";"10cv-adaptive";"2";"BernoulliNB";"0.1687";"29491"
"40900";"10cv-adaptive";"5";"SGDClassifier";"0.0096";"3046"
"40670";"10cv-adaptive";"7";"GradientBoostingClassifier";"0.0374";"12407"
"40984";"10cv-adaptive";"9";"ExtraTreesClassifier";"0.0578";"6023"
"40670";"10cv-adaptive";"8";"GradientBoostingClassifier";"0.0375";"13260"
"42733";"10cv-adaptive";"3";"BernoulliNB";"0.1687";"28815"
"40900";"10cv-adaptive";"6";"MLPClassifier";"0.0081";"2969"
"42734";"10cv-adaptive";"2";"GradientBoostingClassifier";"0.2667";"8047"
"40498";"10cv-adaptive";"1";"ExtraTreesClassifier";"0.2975";"7405"
"40701";"10cv-adaptive";"9";"RandomForestClassifier";"0.048";"3292"
"40670";"10cv-adaptive";"9";"GradientBoostingClassifier";"0.0371";"12731"
"42734";"10cv-adaptive";"3";"GradientBoostingClassifier";"0.2674";"8517"
"40498";"10cv-adaptive";"2";"ExtraTreesClassifier";"0.2969";"7469"
"42733";"10cv-adaptive";"4";"BernoulliNB";"0.1687";"28797"
"40900";"10cv-adaptive";"7";"LinearSVC";"0.0168";"2998"
"42734";"10cv-adaptive";"4";"GradientBoostingClassifier";"0.2675";"8469"
"41163";"10cv-adaptive";"0";"MLPClassifier";"0.026";"47011"
"41162";"10cv-adaptive";"1";"MultinomialNB";"0.0379";"6493"
"40498";"10cv-adaptive";"3";"ExtraTreesClassifier";"0.297";"7194"
"40900";"10cv-adaptive";"8";"LinearSVC";"0.0125";"3202"
"41164";"10cv-adaptive";"0";"ExtraTreesClassifier";"0.2858";"27762"
"42734";"10cv-adaptive";"5";"GradientBoostingClassifier";"0.2683";"8439"
"41162";"10cv-adaptive";"2";"RandomForestClassifier";"0.0384";"6293"
"42733";"10cv-adaptive";"6";"BernoulliNB";"0.1687";"29143"
"40900";"10cv-adaptive";"9";"LinearSVC";"0.0134";"3077"
"40498";"10cv-adaptive";"4";"ExtraTreesClassifier";"0.2974";"7901"
"42734";"10cv-adaptive";"6";"GradientBoostingClassifier";"0.2679";"8001"
"42733";"10cv-adaptive";"7";"BernoulliNB";"0.1687";"29169"
"41164";"10cv-adaptive";"1";"ExtraTreesClassifier";"0.285";"27226"
"41162";"10cv-adaptive";"3";"BernoulliNB";"0.0379";"6514"
"41161";"10cv-adaptive";"4";"ExtraTreesClassifier";"0.0043";"60108"
"40498";"10cv-adaptive";"5";"ExtraTreesClassifier";"0.2985";"7522"
"41162";"10cv-adaptive";"4";"MultinomialNB";"0.0379";"6560"
"42734";"10cv-adaptive";"7";"GradientBoostingClassifier";"0.2684";"8215"
"40498";"10cv-adaptive";"6";"ExtraTreesClassifier";"0.2984";"7586"
"41164";"10cv-adaptive";"2";"ExtraTreesClassifier";"0.2845";"27830"
"41163";"10cv-adaptive";"3";"MLPClassifier";"0.0257";"47222"
"42733";"10cv-adaptive";"8";"BernoulliNB";"0.1687";"28946"
"41163";"10cv-adaptive";"4";"MLPClassifier";"0.0268";"47113"
"42734";"10cv-adaptive";"8";"GradientBoostingClassifier";"0.2674";"8385"
"41162";"10cv-adaptive";"5";"RandomForestClassifier";"0.0385";"6510"
"41165";"10cv-adaptive";"2";"RandomForestClassifier";"0.557";"62289"
"42733";"10cv-adaptive";"9";"BernoulliNB";"0.1687";"29521"
"40498";"10cv-adaptive";"7";"ExtraTreesClassifier";"0.2963";"7513"
"41164";"10cv-adaptive";"3";"ExtraTreesClassifier";"0.285";"27105"
"40498";"10cv-adaptive";"8";"ExtraTreesClassifier";"0.2974";"7575"
"41163";"10cv-adaptive";"5";"ExtraTreesClassifier";"0.0196";"47000"
"41161";"10cv-adaptive";"7";"ExtraTreesClassifier";"0.0043";"60714"
"41162";"10cv-adaptive";"6";"MultinomialNB";"0.0379";"6233"
"41165";"10cv-adaptive";"3";"RandomForestClassifier";"0.5577";"62762"
"41164";"10cv-adaptive";"4";"ExtraTreesClassifier";"0.2848";"28045"
"41164";"10cv-adaptive";"5";"ExtraTreesClassifier";"0.2858";"28034"
"41162";"10cv-adaptive";"7";"MultinomialNB";"0.0379";"6582"
"41166";"10cv-adaptive";"3";"RandomForestClassifier";"0.3287";"40182"
"41165";"10cv-adaptive";"4";"ExtraTreesClassifier";"0.5672";"62327"
"41169";"10cv-adaptive";"0";"ExtraTreesClassifier";"0.6449";"37990"
"40498";"10cv-adaptive";"9";"ExtraTreesClassifier";"0.2963";"8990"
"41166";"10cv-adaptive";"4";"RandomForestClassifier";"0.3286";"40246"
"41161";"10cv-adaptive";"9";"ExtraTreesClassifier";"0.0042";"61644"
"41162";"10cv-adaptive";"8";"BernoulliNB";"0.0379";"6584"
"41165";"10cv-adaptive";"5";"RandomForestClassifier";"0.5563";"61394"
"41164";"10cv-adaptive";"6";"ExtraTreesClassifier";"0.2856";"27439"
"41163";"10cv-adaptive";"7";"ExtraTreesClassifier";"0.0195";"46631"
"41142";"10cv-adaptive";"0";"RandomForestClassifier";"0.2794";"33558"
"41142";"10cv-adaptive";"1";"RandomForestClassifier";"0.2776";"31422"
"41166";"10cv-adaptive";"5";"RandomForestClassifier";"0.3283";"40209"
"41164";"10cv-adaptive";"7";"ExtraTreesClassifier";"0.2851";"28075"
"41143";"10cv-adaptive";"0";"ExtraTreesClassifier";"0.1964";"10151"
"41162";"10cv-adaptive";"9";"BernoulliNB";"0.0379";"6540"
"41143";"10cv-adaptive";"1";"RandomForestClassifier";"0.1955";"10202"
"41169";"10cv-adaptive";"3";"ExtraTreesClassifier";"0.645";"38099"
"41142";"10cv-adaptive";"2";"RandomForestClassifier";"0.2772";"31762"
"41165";"10cv-adaptive";"7";"RandomForestClassifier";"0.557";"61039"
"41144";"10cv-adaptive";"0";"RandomForestClassifier";"0.2234";"8553"
"41164";"10cv-adaptive";"8";"ExtraTreesClassifier";"0.2858";"27100"
"41145";"10cv-adaptive";"0";"GradientBoostingClassifier";"0.2484";"16837"
"41164";"10cv-adaptive";"9";"ExtraTreesClassifier";"0.2846";"27425"
"41169";"10cv-adaptive";"4";"ExtraTreesClassifier";"0.6449";"37740"
"41144";"10cv-adaptive";"1";"RandomForestClassifier";"0.2262";"8585"
"41143";"10cv-adaptive";"2";"RandomForestClassifier";"0.1953";"9858"
"41142";"10cv-adaptive";"3";"RandomForestClassifier";"0.2785";"31324"
"41145";"10cv-adaptive";"1";"GradientBoostingClassifier";"0.2483";"16273"
"41165";"10cv-adaptive";"9";"ExtraTreesClassifier";"0.566";"63856"
"41144";"10cv-adaptive";"2";"RandomForestClassifier";"0.224";"8495"
"41143";"10cv-adaptive";"3";"ExtraTreesClassifier";"0.1946";"9956"
"41146";"10cv-adaptive";"0";"ExtraTreesClassifier";"0.0555";"4266"
"41169";"10cv-adaptive";"5";"ExtraTreesClassifier";"0.6446";"37934"
"41142";"10cv-adaptive";"4";"RandomForestClassifier";"0.2774";"32438"
"41166";"10cv-adaptive";"8";"RandomForestClassifier";"0.3285";"40679"
"41147";"10cv-adaptive";"0";"GradientBoostingClassifier";"0.5089";"15317"
"41142";"10cv-adaptive";"5";"RandomForestClassifier";"0.2781";"32026"
"41145";"10cv-adaptive";"2";"GradientBoostingClassifier";"0.2482";"15967"
"41146";"10cv-adaptive";"1";"ExtraTreesClassifier";"0.0558";"4465"
"41144";"10cv-adaptive";"4";"RandomForestClassifier";"0.2265";"9121"
"41142";"10cv-adaptive";"6";"RandomForestClassifier";"0.2772";"31823"
"41147";"10cv-adaptive";"1";"GradientBoostingClassifier";"0.5111";"14765"
"41168";"10cv-adaptive";"8";"ExtraTreesClassifier";"0.3051";"35004"
"41143";"10cv-adaptive";"5";"ExtraTreesClassifier";"0.1973";"10478"
"41169";"10cv-adaptive";"7";"ExtraTreesClassifier";"0.6449";"37354"
"41145";"10cv-adaptive";"3";"GradientBoostingClassifier";"0.2481";"16096"
"41146";"10cv-adaptive";"3";"ExtraTreesClassifier";"0.055";"4316"
"41145";"10cv-adaptive";"4";"GradientBoostingClassifier";"0.2482";"16410"
"41142";"10cv-adaptive";"7";"RandomForestClassifier";"0.2766";"32026"
"41144";"10cv-adaptive";"5";"RandomForestClassifier";"0.2211";"8694"
"41143";"10cv-adaptive";"6";"RandomForestClassifier";"0.1951";"10291"
"41156";"10cv-adaptive";"0";"GradientBoostingClassifier";"0.1358";"2322"
"41143";"10cv-adaptive";"7";"RandomForestClassifier";"0.1951";"10016"
"41146";"10cv-adaptive";"4";"ExtraTreesClassifier";"0.055";"4577"
"41142";"10cv-adaptive";"8";"RandomForestClassifier";"0.2789";"31532"
"41147";"10cv-adaptive";"3";"ExtraTreeClassifier";"0.4856";"13768"
"41157";"10cv-adaptive";"1";"LinearSVC";"0.117";"5854"
"41143";"10cv-adaptive";"8";"RandomForestClassifier";"0.1948";"10358"
"41146";"10cv-adaptive";"5";"ExtraTreesClassifier";"0.0555";"4999"
"41144";"10cv-adaptive";"7";"RandomForestClassifier";"0.2237";"8441"
"41156";"10cv-adaptive";"2";"GradientBoostingClassifier";"0.1358";"2311"
"41147";"10cv-adaptive";"4";"GradientBoostingClassifier";"0.5111";"14461"
"41145";"10cv-adaptive";"7";"GradientBoostingClassifier";"0.2483";"16435"
"41146";"10cv-adaptive";"6";"ExtraTreesClassifier";"0.0549";"4578"
"41158";"10cv-adaptive";"1";"ExtraTreesClassifier";"0.0509";"11120"
"41156";"10cv-adaptive";"3";"GradientBoostingClassifier";"0.1358";"2268"
"41144";"10cv-adaptive";"8";"RandomForestClassifier";"0.2237";"8692"
"41157";"10cv-adaptive";"2";"PassiveAggressiveClassifier";"0.15";"5741"
"41159";"10cv-adaptive";"0";"ExtraTreesClassifier";"0.2";"50401"
"41159";"10cv-adaptive";"1";"ExtraTreesClassifier";"0.2006";"50166"
"41145";"10cv-adaptive";"8";"GradientBoostingClassifier";"0.2483";"18128"
"41146";"10cv-adaptive";"7";"ExtraTreesClassifier";"0.0546";"4297"
"41158";"10cv-adaptive";"2";"ExtraTreesClassifier";"0.0527";"11125"
"41138";"10cv-adaptive";"0";"ExtraTreesClassifier";"0.0353";"2225"
"41156";"10cv-adaptive";"4";"GradientBoostingClassifier";"0.1357";"2275"
"41157";"10cv-adaptive";"3";"PassiveAggressiveClassifier";"0.142";"5551"
"41145";"10cv-adaptive";"9";"GradientBoostingClassifier";"0.2482";"16510"
"41159";"10cv-adaptive";"2";"ExtraTreesClassifier";"0.2004";"50144"
"41156";"10cv-adaptive";"5";"GradientBoostingClassifier";"0.1357";"2371"
"41146";"10cv-adaptive";"9";"ExtraTreesClassifier";"0.0552";"4278"
"41147";"10cv-adaptive";"8";"GradientBoostingClassifier";"0.5089";"15329"
"41158";"10cv-adaptive";"4";"ExtraTreesClassifier";"0.051";"11482"
"181";"10cv-adaptive";"0";"RandomForestClassifier";"0.3838";"3104"
"54";"10cv-adaptive";"1";"QuadraticDiscriminantAnalysis";"0.1484";"1535"
"41159";"10cv-adaptive";"3";"ExtraTreesClassifier";"0.2001";"50911"
"41156";"10cv-adaptive";"6";"GradientBoostingClassifier";"0.1357";"2221"
"54";"10cv-adaptive";"2";"QuadraticDiscriminantAnalysis";"0.1484";"1554"
"41147";"10cv-adaptive";"9";"GradientBoostingClassifier";"0.5078";"14579"
